id,name,type,frequency,ac,damageBase,damageType,range,effect,createdAt,updatedAt
134,Karate Chop,Fighting,At-Will,2,5,Physical,"Melee, 1 Target",Karate Chop is a Critical Hit on 17+.,3/5/2021 22:15:12,3/5/2021 22:15:12
135,Low Kick,Fighting,EOT,2,,Physical,"Melee, 1 Target, Weight Class",Low Kick’s Damage Base is equal to twice the target’s Weight Class.,3/5/2021 22:15:12,3/5/2021 22:15:12
136,Low Sweep,Fighting,EOT,2,7,Physical,"Melee, 1 Target",Lowers the target’s Speed 1 Combat Stage.,3/5/2021 22:15:12,3/5/2021 22:15:12
137,Mach Punch,Fighting,At-Will,2,4,Physical,"Melee, 1 Target, Priority",None,3/5/2021 22:15:12,3/5/2021 22:15:12
138,Mat Block,Fighting,Scene,,,Status,"Self, Interrupt, Shield, Trigger","If the user or an adjacent ally is hit by a damaging attack, the user may use Mat Block. The attack instead does not hit any targets, and it deals no damage and no has effects. You may only use Mat Block during the first round of an encounter.",3/5/2021 22:15:12,3/5/2021 22:15:12
139,Power-Up Punch,Fighting,EOT,2,4,Physical,"Melee, 1 Target","If Power-Up Punch successfully hits a target, the user’s Attack is raised by +1 Combat Stage",3/5/2021 22:15:12,3/5/2021 22:15:12
140,Quick Guard,Fighting,Scene,,,Status,"Melee, Interrupt, Shield, Trigger","If the user or an adjacent ally is targeted by a Priority or Interrupt Attack, Quick Guard may be declared as an Interrupt, causing the triggering attack to have no effect.",3/5/2021 22:15:12,3/5/2021 22:15:12
141,Revenge,Fighting,EOT,2,6,Physical,"Melee, 1 Target, Priority (Limited)","When declaring Revenge, the user does nothing and may not Shift. At the end of the round, the user may shift and use Revenge. If the target has damaged the user this round, Revenge has a Damage Base of 12 (3d12+10 / 30).",3/5/2021 22:15:12,3/5/2021 22:15:12
142,Reversal,Fighting,EOT,2,7,Physical,"Melee, 1 Target","For each Injury the user has, Reversal’s Damage Base is increased by +1.",3/5/2021 22:15:12,3/5/2021 22:15:12
143,Rock Smash,Fighting,At-Will,2,4,Physical,"Melee, 1 Target",Rock Smash lowers the target’s Defense 1 Combat Stage on 17+.,3/5/2021 22:15:12,3/5/2021 22:15:12
144,Rolling Kick,Fighting,At-Will,4,6,Physical,"Melee, 1 Target",Rolling Kick Flinches the target on 15+.,3/5/2021 22:15:12,3/5/2021 22:15:12
145,Sacred Sword,Fighting,EOT,,8,Physical,"Melee, 1 Target",Sacred Sword cannot miss.,3/5/2021 22:15:12,3/5/2021 22:15:12
146,Secret Sword,Fighting,At-Will,2,8,Special,"Melee, 1 Target","When calculating damage, the target subtracts their Defense from Secret Sword’s damage instead of their Special Defense. Secret Sword is still otherwise Special ( Special Evasion is used to avoid it, Mirror Coat can reflect it, etc. ).",3/5/2021 22:15:12,3/5/2021 22:15:12
147,Seismic Toss,Fighting,Scene x2,2,,Physical,"Melee, 1 Target",The target loses Hit Points equal to the level of Seismic Toss’ user.,3/5/2021 22:15:12,3/5/2021 22:15:12
148,Sky Uppercut,Fighting,At-Will,4,9,Physical,"Melee, 1 Target","Sky Uppercut may be used as an Interrupt when against a target initiating Bounce, Fly, or Sky Drop to allow the user to Shift and use Sky Uppercut. If Sky Uppercut successfully hits its target, the triggering Move fails (though the target may take their next turn normally).",3/5/2021 22:15:12,3/5/2021 22:15:12
149,Storm Throw,Fighting,EOT,2,6,Physical,"Melee, 1 Target","If Storm Throw hits, it is a Critical Hit.",3/5/2021 22:15:12,3/5/2021 22:15:12
150,Submission,Fighting,At-Will,6,8,Physical,"Melee, 1 Target, Recoil 1/3","On an accuracy roll of 15+, the target is Tripped.",3/5/2021 22:15:12,3/5/2021 22:15:12
151,Superpower,Fighting,Scene x2,2,12,Physical,"Melee, 1 Target, Dash",Superpower lowers the user’s Attack and Defense by 1 Combat Stage each.,3/5/2021 22:15:12,3/5/2021 22:15:12
152,Triple Kick,Fighting,At-Will,3,,Physical,"Melee, 1 Target","Make three attacks with Triple Kick. If you hit once, Triple Kick has a DB of 1. If you hit two times, Triple Kick has a DB of 3. If you hit three times, Triple Kick has a DB of 6.",3/5/2021 22:15:12,3/5/2021 22:15:12
153,Vacuum Wave,Fighting,At-Will,2,4,Special,"4, 1 Target, Priority, Aura",None,3/5/2021 22:15:12,3/5/2021 22:15:12
154,Vital Throw,Fighting,EOT,,7,Physical,"Melee, 1 Target, Push, Reaction","If the user is targeted by a Melee attack and has not yet taken a turn this round, the user may declare Vital Throw. After the triggering attack is resolved, the user may use Vital Throw against the triggering foe as a Reaction. Vital Throw cannot miss.",3/5/2021 22:15:12,3/5/2021 22:15:12
155,Wake-Up Slap,Fighting,At-Will,2,5,Physical,"Melee, 1 Target","If the target is Asleep, Wake-Up Slap has a Damage Base of 10 (3d8+10 / 24) instead, and cures the target of Sleep.",3/5/2021 22:15:12,3/5/2021 22:15:12
156,Blast Burn,Fire,Daily x2,4,15,Special,"Close Blast 3, Smite, Exhaust",None,3/5/2021 22:15:12,3/5/2021 22:15:12
157,Blaze Kick,Fire,EOT,4,9,Physical,"Melee, 1 Target","Blaze Kick Burns the target on 19+, and is a Critical Hit on 18+.",3/5/2021 22:15:12,3/5/2021 22:15:12
158,Blue Flare,Fire,Scene x2,5,13,Special,"10, 1 Target, Smite",Blue Flare Burns the target on 17+.,3/5/2021 22:15:12,3/5/2021 22:15:12
159,Ember,Fire,At-Will,2,4,Special,"4, 1 Target",Ember Burns the target on 18+.,3/5/2021 22:15:12,3/5/2021 22:15:12
160,Eruption,Fire,Daily,4,15,Special,Burst 1*,"For each 10% of Hit Points the user is missing, Eruption’s Damage Base is reduced by 1. Eruption creates a 1 meter burst, but also affects an area 10 meters tall straight up.",3/5/2021 22:15:12,3/5/2021 22:15:12
161,Fiery Dance,Fire,EOT,2,8,Special,"4, 1 Target","If Fiery Dance successfully hits a foe, it raises the user’s Special Attack by 1 Combat Stage on Even- Numbered Rolls.",3/5/2021 22:15:12,3/5/2021 22:15:12
162,Fire Blast,Fire,Scene x2,4,11,Special,"6, 1 Target, Smite",Fire Blast burns the target on 19+.,3/5/2021 22:15:12,3/5/2021 22:15:12
163,Fire Fang,Fire,At-Will,3,7,Physical,"Melee, 1 Target","Fire Fang Burns or Flinches on 18-19 during Accuracy Check; flip a coin to determine whether the foe gets Burned or Flinches. On 20 during Accuracy Check, the foe is Burned and Flinches.",3/5/2021 22:15:12,3/5/2021 22:15:12
164,Fire Pledge,Fire,Scene,2,8,Special,"6, 1 Target, Pledge","If an ally uses Grass Pledge or Water Pledge, you may use Fire Pledge as Priority (Advanced) immediately after their turn to target the same foe. If used in conjunction with Grass Pledge, Fire Hazards are created in a Burst 1 around the target. If used in conjunction with Water Pledge, a Rainbow is created that lasts for 5 rounds. Consult the Pledge keyword for additional details.",3/5/2021 22:15:12,3/5/2021 22:15:12
165,Fire Punch,Fire,At-Will,2,8,Physical,"Melee, 1 Target",Fire Punch Burns the target on 19+ during Accuracy Check.,3/5/2021 22:15:12,3/5/2021 22:15:12
166,Fire Spin,Fire,Scene x2,4,4,Special,"3, 1 Target",The target is put in a Vortex.,3/5/2021 22:15:12,3/5/2021 22:15:12
167,Flame Burst,Fire,At-Will,2,7,Special,"6, 1 Target",Any Trainers or Pokémon cardinally adjacent to the target lose 5 Hit Points.,3/5/2021 22:15:12,3/5/2021 22:15:12
168,Flame Charge,Fire,At-Will,2,5,Physical,"Melee, 1 Target, Dash",Raise the user’s Speed 1 Combat Stage.,3/5/2021 22:15:12,3/5/2021 22:15:12
169,Flame Wheel,Fire,At-Will,2,6,Physical,"Melee, 1 Target, Dash",Flame Wheel Burns the target on 19+.,3/5/2021 22:15:12,3/5/2021 22:15:12
170,Flamethrower,Fire,EOT,2,9,Special,"4, 1 Target",Flamethrower Burns the target on 19+.,3/5/2021 22:15:12,3/5/2021 22:15:12
171,Flare Blitz,Fire,Scene x2,2,12,Physical,"Melee, 1 Target, Dash, Recoil 1/3",Flare Blitz Burns the target on 19+.,3/5/2021 22:15:12,3/5/2021 22:15:12
172,Fusion Flare,Fire,Scene x2,2,10,Special,"8, 1 Target, Smite","If Fusion Bolt was used this round or last round by any participant of the encounter, Fusion Flare has its Damage Base increased by +3.",3/5/2021 22:15:12,3/5/2021 22:15:12
173,Heat Crash,Fire,EOT,2,4,Physical,"Melee, 1 Target, Dash","For each weight class the user is above the target, increase Heat Crash’s Damage Base by +2.",3/5/2021 22:15:12,3/5/2021 22:15:12
174,Heat Wave,Fire,Scene x2,4,10,Special,"Close Blast 3, Smite",Heat Wave Burns all Legal Targets on 18+.,3/5/2021 22:15:12,3/5/2021 22:15:12
175,Incinerate,Fire,At-Will,2,6,Special,Line 3,"If a target is holding a Held Item or Main or Off- Hand item, they must either drop it immediately or lose a Tick of Hit Points. This may only cause a target to lose at most one Tick of Hit Points, no matter how many items they were holding.",3/5/2021 22:15:12,3/5/2021 22:15:12
176,Inferno,Fire,At-Will,9,10,Special,"6, 1 Target",Inferno Burns the target. Inferno ignores the target’s Evasion if there are no other combatants or Rough or Blocking Terrain within 2 meters of the target.,3/5/2021 22:15:12,3/5/2021 22:15:12
177,Lava Plume,Fire,EOT,2,8,Special,Burst 1,Lava Plume burns all targets on 16+.,3/5/2021 22:15:12,3/5/2021 22:15:12
178,Magma Storm,Fire,Scene,6,10,Special,"6, 1 Target",The target is put in a Vortex; this effect occurs even if Magma Storm misses its target.,3/5/2021 22:15:12,3/5/2021 22:15:12
179,Mystical Fire,Fire,EOT,2,8,Special,"6, 1 Target",Mystical Fire lowers the target’s Special Attack by 1 Combat Stage.,3/5/2021 22:15:12,3/5/2021 22:15:12
180,Overheat,Fire,Scene,4,13,Special,"8, Ranged Blast 3, Smite",Lower the user’s Special Attack 2 Combat Stages after damage.,3/5/2021 22:15:12,3/5/2021 22:15:12
181,Sacred Fire,Fire,EOT,3,10,Physical,"6, 1 Target",Sacred Fire Burns the target on Even-Numbered Rolls.,3/5/2021 22:15:12,3/5/2021 22:15:12
182,Searing Shot,Fire,EOT,2,10,Special,Burst 1,Searing Shot Burns all targets on 15+.,3/5/2021 22:15:12,3/5/2021 22:15:12
183,Sunny Day,Fire,Daily x2,,,Status,"Field, Weather","The weather becomes Sunny for 5 rounds. While Sunny, Fire-Type Attacks gain a +5 bonus to Damage Rolls, and Water-Type Attacks suffer a -5 Damage penalty.",3/5/2021 22:15:12,3/5/2021 22:15:12
184,V-Create,Fire,Daily,5,18,Physical,"Melee, 1 Target, Smite","Lower the user’s Defense, Special Defense, and Speed by 1 CS each.",3/5/2021 22:15:12,3/5/2021 22:15:12
185,Will-O-Wisp,Fire,EOT,5,,Status,"6, 1 Target",The target is Burned.,3/5/2021 22:15:12,3/5/2021 22:15:12
186,Acrobatics,Flying,EOT,2,6,Physical,"Melee, Dash, 1 Target","If the user is not holding an item, Acrobatics instead has a Damage Base of 11 (3d10+10 / 27).",3/5/2021 22:15:12,3/5/2021 22:15:12
187,Aerial Ace,Flying,EOT,,6,Physical,"Melee, 1 Target",Aerial Ace cannot miss.,3/5/2021 22:15:12,3/5/2021 22:15:12
188,Aeroblast,Flying,Daily,3,10,Special,Line 6,Aeroblast is a Critical Hit on an Even-Numbered Roll.,3/5/2021 22:15:12,3/5/2021 22:15:12
189,Air Cutter,Flying,At-Will,2,6,Special,Cone 2,Air Cutter is a Critical Hit on 18+.,3/5/2021 22:15:12,3/5/2021 22:15:12
190,Air Slash,Flying,EOT,3,8,Special,"6, 1 Target",Air Slash Flinches the target on 15+.,3/5/2021 22:15:12,3/5/2021 22:15:12
191,Bounce,Flying,Scene x2,4,9,Physical,"Melee, 1 Target, Dash, Full Action","The user first Shifts, gaining a +1 Bonus to Movement Speed and to their Jump Capabilities. After the user Shifts, they may attack with Bounce. The target becomes Vulnerable, and is Paralyzed on 16+.",3/5/2021 22:15:12,3/5/2021 22:15:12
192,Brave Bird,Flying,Scene x2,2,12,Physical,"Melee, Dash, Push, Recoil 1/3",The target is pushed back 2 meters.,3/5/2021 22:15:12,3/5/2021 22:15:12
193,Chatter,Flying,At-Will,2,7,Special,"4, 1 Target, Sonic",Chatter confuses all targets on 16+.,3/5/2021 22:15:12,3/5/2021 22:15:12
194,Defog,Flying,Daily x2,,,Status,"Field, Weather","The Weather becomes Clear, and all Blessings, Coats, and Hazards are destroyed. Clear Weather is the default weather, conferring no innate bonuses or penalties of any sort.",3/5/2021 22:15:12,3/5/2021 22:15:12
195,Dragon Ascent,Flying,Scene x2,2,12,Physical,"Melee, 1 Target, Dash",The user’s Defense and Special Defense are each lowered by -1 Combat Stage.,3/5/2021 22:15:12,3/5/2021 22:15:12
196,Drill Peck,Flying,At-Will,2,8,Physical,"Melee, 1 Target, Dash",None,3/5/2021 22:15:12,3/5/2021 22:15:12
197,Feather Dance,Flying,EOT,2,,Status,"Burst 1, Friendly",All legal targets have their Attack lowered 2 Combat Stages.,3/5/2021 22:15:12,3/5/2021 22:15:12
198,Fly,Flying,At-Will,3,8,Physical,"Melee, Dash, Set-Up","The user may shift twice while in the air, using their overland or sky speed, and then comes down next to a legal target, and attacks with Fly.",3/5/2021 22:15:12,3/5/2021 22:15:12
199,Gust,Flying,At-Will,2,4,Special,"4, 1 Target","If the target is airborne as a result of Fly or Sky Drop, Gust can hit them, ignoring Range and has a Damage Base of 8 instead.",3/5/2021 22:15:12,3/5/2021 22:15:12
200,Hurricane,Flying,Scene x2,7,11,Special,"Burst 1, Smite","Hurricane Confuses its target on 15+. If the target is in Sunny Weather, Hurricane’s Accuracy Check is 11. If the target is in Rainy Weather, Hurricane cannot miss. If the target is airborne as a result of Fly or Sky Drop, Hurricane cannot miss.",3/5/2021 22:15:12,3/5/2021 22:15:12
201,Mirror Move,Flying,Scene x2,,,Status,"6, 1 Target, Illusion",Use the Move the target has used on their last turn. You may choose new targets for the Move. Mirror Move cannot miss.,3/5/2021 22:15:12,3/5/2021 22:15:12
202,Oblivion Wing,Flying,Daily,2,8,Special,"Melee, 1 Target",The user gains Hit Points equal to Oblivion Wing’s Damage Roll.,3/5/2021 22:15:12,3/5/2021 22:15:12
203,Peck,Flying,At-Will,2,4,Physical,"Melee, 1 Target",None,3/5/2021 22:15:12,3/5/2021 22:15:12
204,Pluck,Flying,At-Will,2,6,Physical,"Melee, 1 Target","Pluck takes the target’s Held Item or Accessory Slot Item and attaches it to Pluck’s user, if the user is not holding anything.",3/5/2021 22:15:12,3/5/2021 22:15:12
205,Roost,Flying,Daily x2,,,Status,Self,"The user regains Hit Points equal to half of its full Hit Points. If the user is a Flying Type, it loses the Flying Type until the start of their next turn.",3/5/2021 22:15:12,3/5/2021 22:15:12
206,Sky Attack,Flying,Scene x2,4,14,Physical,"Melee, Pass, Set-Up, Full Action","The user may shift until they are next to a legal target in the encounter. They may then shift again, and pass through legal targets to attack with Sky Attack. Sky Attack Flinches a target on 17-20 during Accuracy Check.",3/5/2021 22:15:12,3/5/2021 22:15:12
207,Sky Drop,Flying,Scene x2,3,6,Physical,"Melee, Target, Set-Up","Shift while in the air, and lower both the user and the target heights back to the ground. Then apply Sky Drop’s damage. If the target has a Sky or Levitate Speed, Sky Drop fails to deal damage. If the user is Fainted after the Set-Up but before the Resolution, the target falls to the ground and takes damage as if Sky Drop had a Damage Base of 3 (1d6+5/8) unless they have a Sky or Levitate Speed, in which case they take no damage.",3/5/2021 22:15:12,3/5/2021 22:15:12
208,Tailwind,Flying,Scene,,,Status,Scene,"For the remainder of the encounter, all allied trainers and Pokémon gain +5 to their Initiative. Multiple instances of Tailwind cannot stack.",3/5/2021 22:15:12,3/5/2021 22:15:12
209,Wing Attack,Flying,At-Will,2,6,Physical,"Melee, 1 Target",None.,3/5/2021 22:15:12,3/5/2021 22:15:12
210,Astonish,Ghost,At-Will,2,3,Physical,"Melee, 1 Target","Astonish Flinches the target on 15+. Once per scene, if the target is unaware of the user’s presence, Astonish automatically Flinches the target.",3/5/2021 22:15:12,3/5/2021 22:15:12
211,Confuse Ray,Ghost,Scene x2,2,,Status,"6, 1 Target",The target is Confused.,3/5/2021 22:15:12,3/5/2021 22:15:12
212,Curse,Ghost,See Text,,,Status,Self,"If the user is not a Ghost Type, Curse has a Frequency of EOT, and when used the user lowers its Speed by -1 Combat Stage, but raises Attack and Defense by +1 Combat Stage each. If the user is a Ghost Type, Curse has a Frequency of Scene, and when used the user loses 1/3rd of their Max Hit Points and a target Pokémon or Trainer within 8 meters of the user becomes Cursed. This Hit Point loss cannot be prevented in any way.",3/5/2021 22:15:12,3/5/2021 22:15:12
213,Destiny Bond,Ghost,EOT,,,Status,"Burst 10, Friendly","All enemy targets in the burst become Bound to the user until the end of the user’s next turn. If a Bound target causes the user to Faint through a Damaging Attack, the Bound target immediately faints after their attack is resolved.",3/5/2021 22:15:12,3/5/2021 22:15:12
214,Grudge,Ghost,Daily,,,Status,"6, 1 Target, Interrupt","You may use Grudge as an Interrupt when a Damaging Attack causes the user to faint. Grudge is activated as a Free Action (does not take up a Command). The attack is resolved as usual, and the user Faints. The attacker that caused the user to Faint becomes Suppressed for the remainder of the encounter; switching and Taking a Breather does not end Suppression when used this way.",3/5/2021 22:15:12,3/5/2021 22:15:12
215,Hex,Ghost,EOT,2,7,Special,"6, 1 Target","Once a Scene, if Hex’s target has a Status Affliction, you may have Hex’s Damage Base be 13 instead (4d10+10 / 35).",3/5/2021 22:15:12,3/5/2021 22:15:12
216,Lick,Ghost,At-Will,2,3,Physical,"Melee, 1 Target",Lick Paralyzes the target on 15+ during Accuracy Check.,3/5/2021 22:15:12,3/5/2021 22:15:12
217,Night Shade,Ghost,Scene x2,2,,Special,"8, 1 Target",The target loses Hit Points equal to the level of Night Shade’s user. Do not apply weakness or resistance. Do not apply stats.,3/5/2021 22:15:12,3/5/2021 22:15:12
218,Nightmare,Ghost,Scene x2,2,,Status,"Melee, 1 Target",Nightmare can only hit Legal Targets that are Asleep. The target gains Bad Sleep.,3/5/2021 22:15:12,3/5/2021 22:15:12
219,Ominous Wind,Ghost,EOT,2,6,Special,"6, 1 Target, Spirit Surge","On 19+, the user has each of its stats raised by +1 Combat Stage.",3/5/2021 22:15:12,3/5/2021 22:15:12
220,Phantom Force,Ghost,Scene x2,2,9,Physical,"Melee, 1 Target, Set-Up","Phantom Force’s user appears adjacent to any legal target on the field, ignoring Movement Capabilities, and then uses Phantom Force’s attack. Phantom Force cannot be avoided by Moves with the Shield Keyword, the Dodge Ability, or similar effects, and Intercepts may not be attempted in response.",3/5/2021 22:15:12,3/5/2021 22:15:12
221,Shadow Ball,Ghost,EOT,2,8,Special,"8, 1 Target",Shadow Ball lowers the foe’s Special Defense 1 Combat Stage on 17+.,3/5/2021 22:15:12,3/5/2021 22:15:12
222,Shadow Claw,Ghost,EOT,2,7,Physical,"Melee, Pass",Shadow Claw is a Critical Hit on 18+.,3/5/2021 22:15:12,3/5/2021 22:15:12
223,Shadow Force,Ghost,Daily x3,2,12,Physical,"Melee, 1 Target, Set-Up","Shadow Force’s user appears adjacent to any legal Target, ignoring Movement Capabilities, and then uses Shadow Force’s attack. Shadow Force cannot be avoided by Moves with the Shield Keyword, the Dodge Ability, or similar effects, and Intercepts may not be attempted in response.",3/5/2021 22:15:12,3/5/2021 22:15:12
224,Shadow Punch,Ghost,EOT,,6,Physical,"6, 1 Target",Shadow Punch cannot miss.,3/5/2021 22:15:12,3/5/2021 22:15:12
225,Shadow Sneak,Ghost,At-Will,2,4,Physical,"Melee, 1 Target, Priority",None.,3/5/2021 22:15:12,3/5/2021 22:15:12
226,Spite,Ghost,Scene,,,Status,"1 Target, Trigger",Spite may be used as a Free Action that does not take up a Command whenever the user is hit by a Move. That Move becomes Disabled for the attacker.,3/5/2021 22:15:12,3/5/2021 22:15:12
227,Trick-or-Treat,Ghost,Daily,2,,Status,"6, 1 Target",The target gains the Ghost Type in addition to its other Types for 5 turns.,3/5/2021 22:15:12,3/5/2021 22:15:12
228,Absorb,Grass,At-Will,2,2,Special,"4, 1 Target","After the target takes damage, the user gains Hit Points equal to half of the damage they dealt to the target.",3/5/2021 22:15:12,3/5/2021 22:15:12
229,Aromatherapy,Grass,Scene,,,Status,Burst 1,All allies in the burst are cured of one status condition of their choice.,3/5/2021 22:15:12,3/5/2021 22:15:12
230,Bullet Seed,Grass,EOT,4,3,Physical,"6, 1 Target, Five Strike",None,3/5/2021 22:15:12,3/5/2021 22:15:12
231,Cotton Guard,Grass,Scene,,,Status,Self,Raise the user’s Defense 3 Combat Stages.,3/5/2021 22:15:12,3/5/2021 22:15:12
232,Cotton Spore,Grass,EOT,2,,Status,"Burst 1, Powder",All Legal Targets have their Speed lowered 2 Combat Stages.,3/5/2021 22:15:12,3/5/2021 22:15:12
233,Energy Ball,Grass,EOT,2,9,Special,"8, 1 Target",Energy Ball lowers the foe’s Special Defense 1 Combat Stage on 17+.,3/5/2021 22:15:12,3/5/2021 22:15:12
234,Forest’s Curse,Grass,Daily,2,,Status,"6, 1 Target",The target gains the Grass Type in addition to its other Types for 5 turns.,3/5/2021 22:15:12,3/5/2021 22:15:12
235,Frenzy Plant,Grass,Daily x2,4,15,Special,"3, 5 Targets, Smite, Exhaust",None,3/5/2021 22:15:12,3/5/2021 22:15:12
236,Giga Drain,Grass,Scene x2,2,8,Special,"6, 1 Target","After the target takes damage, the user gains Hit Points equal to half of the damage they dealt to the target.",3/5/2021 22:15:12,3/5/2021 22:15:12
237,Grass Knot,Grass,EOT,2,,Special,"5, 1 Target, Weight Class",Grass Knot’s Damage Base is equal to twice the target’s Weight Class.,3/5/2021 22:15:12,3/5/2021 22:15:12
238,Grass Pledge,Grass,Scene,2,8,Special,"6, 1 Target, Pledge","If an ally uses Fire Pledge or Water Pledge, you may use Grass Pledge as Priority (Advanced) immediately after their turn to target the same foe. If used in conjunction with Fire Pledge, Fire Hazards are created in a Burst 1 around the target. If used in conjunction with Water Pledge, the target and all foes adjacent to the target are slowed and have their Speed reduced by 2 Combat Stages. Consult the Pledge keyword for additional details.",3/5/2021 22:15:12,3/5/2021 22:15:12
239,Grass Whistle,Grass,Scene x2,6,,Status,"6, 1 Target, Sonic",The target falls Asleep.,3/5/2021 22:15:12,3/5/2021 22:15:12
240,Grassy Terrain,Grass,Daily x2,,,Status,Field,"The area becomes Grassy for 5 rounds. While Grassy, all Pokémon and Trainers standing on the ground recover a Tick of Hit Points at the start of every turn, and Grass-Type attacks performed by grounded Pokémon and Trainers gain a +10 bonus to Damage Rolls.",3/5/2021 22:15:12,3/5/2021 22:15:12
241,Horn Leech,Grass,Scene x2,2,8,Physical,"Melee, 1 Target, Dash","After the target takes damage, the user gains Hit Points equal to half of the damage they dealt to the target.",3/5/2021 22:15:12,3/5/2021 22:15:12
242,Ingrain,Grass,Scene,,,Status,"Self, Coat","Ingrain applies a Coat to the user, which has the following effect; the user cannot be pushed or pulled, and cannot be switched out. At the beginning of each of the user’s turn, the user gains a Tick of Hit Points.",3/5/2021 22:15:12,3/5/2021 22:15:12
243,Leaf Blade,Grass,EOT,2,9,Physical,"Melee, Pass",Leaf Blade is a Critical Hit on 18+.,3/5/2021 22:15:12,3/5/2021 22:15:12
244,Leaf Storm,Grass,Scene,4,13,Special,"8, Ranged Blast 3, Smite",Lower the user’s Special Attack 2 Combat Stages after damage.,3/5/2021 22:15:12,3/5/2021 22:15:12
245,Leaf Tornado,Grass,EOT,4,7,Special,"6, Ranged Blast 3","Small or Medium targets in the central square of the blast are not hit. On 15+, all legal targets have their Accuracy lowered by -1.",3/5/2021 22:15:12,3/5/2021 22:15:12
246,Leech Seed,Grass,Daily x2,4,,Status,"6, 1 Target","At the beginning of each of the target’s turns, Leech Seed’s target loses a Tick of Hit Points. Leech Seed’s user then gains Hit Points equal to the amount the target lost. Leech Seed lasts until the target faints or is returned to a Poké Ball. Grass Types and targets immune to Grass Attacks are immune to Leech Seed.",3/5/2021 22:15:12,3/5/2021 22:15:12
247,Magical Leaf,Grass,EOT,,6,Special,"8, 1 Target",Magical Leaf cannot miss.,3/5/2021 22:15:12,3/5/2021 22:15:12
248,Mega Drain,Grass,At-Will,2,4,Special,"6, 1 Target","After the target takes damage, the user gains Hit Points equal to half of the damage they dealt to the target.",3/5/2021 22:15:12,3/5/2021 22:15:12
249,Needle Arm,Grass,At-Will,2,6,Physical,"Melee, 1 Target",Needle Arm Flinches the target on 15+.,3/5/2021 22:15:12,3/5/2021 22:15:12
250,Petal Blizzard,Grass,EOT,2,9,Physical,Burst 1,None.,3/5/2021 22:15:12,3/5/2021 22:15:12
251,Petal Dance,Grass,Scene x2,3,12,Special,"Melee, all adjacent foes, Smite","After damage is dealt, the user becomes Enraged and Confused.",3/5/2021 22:15:12,3/5/2021 22:15:12
252,Power Whip,Grass,Scene x2,5,12,Physical,"8, 1 Target, Smite",None,3/5/2021 22:15:12,3/5/2021 22:15:12
253,Razor Leaf,Grass,At-Will,4,6,Physical,Cone 2,Razor Leaf is a Critical Hit on 18+.,3/5/2021 22:15:12,3/5/2021 22:15:12
254,Seed Bomb,Grass,At-Will,2,8,Physical,"8, 1 Target",None,3/5/2021 22:15:12,3/5/2021 22:15:12
255,Seed Flare,Grass,Scene,5,12,Special,"6, Ranged Blast 3",All Legal Targets have their Special Defense lowered 1 Combat Stage.,3/5/2021 22:15:12,3/5/2021 22:15:12
256,Sleep Powder,Grass,Scene x2,6,,Status,"4, 1 Target, Powder",The target falls asleep.,3/5/2021 22:15:12,3/5/2021 22:15:12
257,Solar Beam,Grass,Scene x2,2,12,Special,"Line 6, 1 Target, Set-Up","The user attacks with Solar Beam. If the weather is Rainy, Sandstorming, or Hailing, Solar Beam’s Damage Base is lowered to 6 (2d6+8 / 15).",3/5/2021 22:15:12,3/5/2021 22:15:12
258,Spiky Shield,Grass,Scene,,,Status,"Self, Interrupt, Shield, Trigger","If the user is hit by an attack, the user may use Spiky Shield. The user is instead not hit by the Move. You do not take any damage nor are you affected by any of the Move’s effects. In addition, if the triggering attack was Melee ranged, the attacker loses a Tick of Hit Points.",3/5/2021 22:15:12,3/5/2021 22:15:12
259,Spore,Grass,Scene,,,Status,"4, 1 Target, Powder",The target falls Asleep.,3/5/2021 22:15:12,3/5/2021 22:15:12
260,Stun Spore,Grass,Scene x2,6,,Status,"6, 1 Target, Powder",The target is Paralyzed.,3/5/2021 22:15:12,3/5/2021 22:15:12
261,Synthesis,Grass,Daily x2,,,Status,Self,"The user regains Hit Points equal to half of its full Hit Point value. If it is Sunny, the user gains 2/3 of its full Hit Point value instead. If it is Rainy, Sand Storming or Hailing the user gains 1/4 of their full Hit Point value instead.",3/5/2021 22:15:12,3/5/2021 22:15:12
262,Vine Whip,Grass,At-Will,2,4,Physical,"4, 1 Target",None,3/5/2021 22:15:12,3/5/2021 22:15:12
263,Wood Hammer,Grass,Scene x2,2,12,Physical,"Melee, 1 Target, Dash, Recoil 1/3",None,3/5/2021 22:15:12,3/5/2021 22:15:12
264,Worry Seed,Grass,Scene,2,,Status,"8, 1 Target",You choose one of the target’s Abilities. Worry Seed changes that Ability to Insomnia for the remainder of the encounter.,3/5/2021 22:15:12,3/5/2021 22:15:12
265,Bone Club,Ground,At-Will,5,7,Physical,"Melee, 1 Target",Bone Club Flinches the target on 18+.,3/5/2021 22:15:12,3/5/2021 22:15:12
266,Bone Rush,Ground,EOT,4,3,Physical,"Melee, 1 Target, Five Strike",None,3/5/2021 22:15:12,3/5/2021 22:15:12
267,Bonemerang,Ground,EOT,3,5,Physical,"6, Double Strike",None,3/5/2021 22:15:12,3/5/2021 22:15:12
268,Bulldoze,Ground,EOT,2,6,Physical,Burst 1,All Legal Targets are lowered 1 Speed Combat Stage.,3/5/2021 22:15:12,3/5/2021 22:15:12
