id,name,frequency,actionType,trigger,target,effect,createdAt,updatedAt
132,Forecast,Static,,,,"The user’s Type changes depending on the weather. It changes to Fire Type if it is Sunny, Ice Type if it is Hailing, Water Type if it is Rainy, and Rock Type if there is a Sandstorm. It returns to Normal Type if it is in normal weather or foggy weather. If there are multiple Weather Effects on the field, choose one type for the user to be that corresponds with an existing Weather Effect.",3/7/2021 0:43:28,3/7/2021 0:43:28
133,Forest Lord,Scene x2,Shift Action,,,"This turn, the user may originate a Grass or Ghost-Typed Move from any fully grown tree within 10 meters. Moves performed this way gain a +2 Bonus on their Accuracy Roll.",3/7/2021 0:43:28,3/7/2021 0:43:28
134,Forewarn,Scene,Free Action,,A Pokémon or Trainer,"The Move with the highest Damage Dice Roll known by the targeted foe is revealed. If there is a tie, all tied Moves are revealed. The Moves revealed gain a -2 Penalty during Accuracy Checks when used by the target for the rest of the encounter.",3/7/2021 0:43:28,3/7/2021 0:43:28
135,Fox Fire,Scene,Standard Action,,,"Connection - Ember. The user creates 3 Fire Wisps. Whenever the user is targeted by a foe within 6 meters, they may spend a Fire Wisp as to use the Move Ember against that foe as a Free Action after the triggering Move is resolved.",3/7/2021 0:43:28,3/7/2021 0:43:28
136,Freezing Point,Static,,,,The user gains Last Chance with Ice.,3/7/2021 0:43:28,3/7/2021 0:43:28
137,Friend Guard,Scene,Free Action,An adjacent Ally takes Damage,,The damage is resisted one step further.,3/7/2021 0:43:28,3/7/2021 0:43:28
138,Frighten,Scene,Swift Action,,A Pokémon or Trainer within 5 meters,Lower the target’s Speed 2 Combat Stages.,3/7/2021 0:43:28,3/7/2021 0:43:28
139,Frisk,Static,,,,Effect: The user gains a +2 Bonus to all Accuracy Rolls against adjacent targets.,3/7/2021 0:43:28,3/7/2021 0:43:28
140,Frostbite,Static,,,,"The user’s damaging Ice-Type attacks cause the target to become Slowed on 18+, and the Effect Range for Freeze on these Moves is increased by +1. If the Move does not cause Freezing, it now causes Freezing on a roll of 20.",3/7/2021 0:43:28,3/7/2021 0:43:28
141,Full Guard,Scene,Swift Action,You take Damage while having Temporary Hit Points,,"You resist the triggering Damage one step further. Bonus: Whenever you take Super-Effective Damage and you have no Temporary Hit Points, you gain a tick of Temporary Hit Points.",3/7/2021 0:43:28,3/7/2021 0:43:28
142,Full Metal Body,Static,,,,"The user’s Combat Stages may not be lowered by the effect of foes’ Feautres, Abilities, or Moves. Status Affictions may still alter their Combat Stages.",3/7/2021 0:43:28,3/7/2021 0:43:28
143,Fur Coat,Static,,,,The user resists all Physical Attacks one step further.,3/7/2021 0:43:28,3/7/2021 0:43:28
144,Gale Wings,Static,,,,Effect: Connection - Quick Attack. The user may use Quick Attack as a Flying-Type Move.,3/7/2021 0:43:28,3/7/2021 0:43:28
145,Galvanize,At-Will,Free Action,,,"If the user attacks with a Normal-Type Move, that Move is Electric-Type instead.",3/7/2021 0:43:28,3/7/2021 0:43:28
146,Gardener,Daily x3,Extended Action,,A yielding plant,"Increase the soil quality of the plant by +1, as if Mulch had been applied. This may target a specific Plant only once per day.",3/7/2021 0:43:28,3/7/2021 0:43:28
147,Gentle Vibe,Scene,Standard Action,,,"(Burst 2) All targets in the burst, including the user, have their Combat Stages reset, and are cured of any Volatile Status ailments.",3/7/2021 0:43:28,3/7/2021 0:43:28
148,Giver,Scene x2,Swift Action,,,"Connection - Present. After rolling to determine Present’s Damage Base, you may choose to ignore the roll and act as if you had rolled a 1 or a 5. Bonus: The user may know any number of TM and Tutor Moves, instead of a maximum of three.",3/7/2021 0:43:28,3/7/2021 0:43:28
149,Glisten,Static,,,,"The user is immune to Fairy-Type attacks. Bonus: If the user is hit by a damaging Fairy-Type attack, they receive +1 Defense or",3/7/2021 0:43:28,3/7/2021 0:43:28
150,Gluttony,Static,,,,"The user may have up to three Food Buffs at once, use up to three Food Buffs per Scene, and may eat two refreshments per half hour.",3/7/2021 0:43:28,3/7/2021 0:43:28
151,Gooey,At-Will,Free Action,The user is hit by a Melee Attack,,The triggering attacker has their Speed lowered by 1 Combat Stage.,3/7/2021 0:43:28,3/7/2021 0:43:28
152,Gore,Scene x2,Swift Action,The user uses Horn Attack,,"Connection - Horn Attack. Horn Attack gains the Double Strike keyword, and pushes its target 2 meters.",3/7/2021 0:43:28,3/7/2021 0:43:28
153,Gorilla Tactics,Scene,Swift Action,The user uses a Move,,"The user gains a +10 bonus to damage rolls  until the end of the Scene, including on the  triggering Move. However, until the end of the  Scene, they may only use Moves that they have  already used in this Scene before triggering this  Ability (the triggering Move is included in those  usable).",3/7/2021 0:43:28,3/7/2021 0:43:28
154,Grass Pelt,Scene,Swift Action,,,"The user gains two ticks worth of Temporary Hit Points. Bonus: When standing on any grassy or leafy terrain that is either Slow or Rough Terrain, the user gains +5 Damage Reduction.",3/7/2021 0:43:28,3/7/2021 0:43:28
155,Grassy Surge,Scene x3,Swift Action,,,"The Field becomes Grassy, as if affected by the Move Grassy Terrain, for one full round.",3/7/2021 0:43:28,3/7/2021 0:43:28
156,Grim Neigh,At-Will,Free Action,The user causes a foe to Faint with a  damaging attack,,"The user’s Special Attack is raised by 1 Combat Stage. In addition, all foes within 3m of the user take a -2 penalty to Accuracy for one full round.",3/7/2021 0:43:28,3/7/2021 0:43:28
157,Gulp,Daily,Extended Action,,,"If the user is allowed to spend time fully submerged in water for at least 10 minutes, they may heal up to 25% of their Max Hit Points, and remove one Injury.",3/7/2021 0:43:28,3/7/2021 0:43:28
158,Gulp Missile,Scene x2,Free Action,"The user uses Stockpile, Surf, or Dive",,"Connection – Stockpile. The next time the user is damaged, it rolls an AC 4 Physical Attack  against the attacker, even if the user Faints. On a hit, the target loses 2 ticks of HP. In addition, if the hit roll was successful, on an even roll the target is Paralyzed; on an odd roll, the target instead loses 1 Defense CS.",3/7/2021 0:43:28,3/7/2021 0:43:28
159,Guts,Static,,,,"While suffering from Burn, Poison, Paralysis, Freezing, or while Asleep, the user’s Attack is raised 2 Combat Stages. If suffering from none of these conditions, the user loses any Combat Stages gained this way.",3/7/2021 0:43:28,3/7/2021 0:43:28
160,Harvest,At-Will,Free Action,,,"Whenever the user trades in a Digestion Buff from a Berry, flip a coin. On heads, the user gains all the benefits of the Digestion Buff, but the Buff is not used up. On tails, the Buff is consumed normally. While in Sunny Weather, the Buff is never consumed. The user may trade in a Digestion Buff up to once per turn during an encounter, but only until they flip “Tails”.",3/7/2021 0:43:28,3/7/2021 0:43:28
161,Haunt,Static,,,,The user gains Last Chance with Ghost.,3/7/2021 0:43:28,3/7/2021 0:43:28
162,Hay Fever,At-Will,Swift Action,The user uses a Status Move; or the user ends their turn while Asleep.,,"The user creates a Burst 2 or Close Blast 3 of allergenic pollen. All Trainers and Pokémon in the burst that are not Bug, Grass, or Poison Typed lose a Tick of Hit Points. This Ability cannot be activated in Rainy Weather, Sandstorms, or if it is Hailing.",3/7/2021 0:43:28,3/7/2021 0:43:28
163,Healer,Scene,Free Action,,An Adjacent Pokémon or Trainer,The target is cured of all Status conditions.,3/7/2021 0:43:28,3/7/2021 0:43:28
164,Heat Mirage,At-Will,Free Action,The user uses a Fire-Type Move,,The user’s Evasion is increased by +3 until the beginning of their next turn.,3/7/2021 0:43:28,3/7/2021 0:43:28
165,Heatproof,Static,,,,"The user resists Fire Type movesf one step further, and does not lose Hit Points from the Burn Condition.",3/7/2021 0:43:28,3/7/2021 0:43:28
166,Heavy Metal,Static,,,,"The user’s Weight Class is increased by +2. Their Defense Base Stat is increased by +2, but their Speed Base Stat is decreased by 2.",3/7/2021 0:43:28,3/7/2021 0:43:28
167,Heliovolt,At-Will,Swift Action,The user uses an Electric-Type Move,,"For 1 full round, the user gains +1 Evasion and is considered to be in Sunny Weather.",3/7/2021 0:43:28,3/7/2021 0:43:28
168,Honey Paws,Static,,,,The user may consume Honey to gain a Food Buff as if they had consumed Leftovers. This Food Buff does not count against their normal limit.,3/7/2021 0:43:28,3/7/2021 0:43:28
169,Honey Thief,Static,,,,"Connection - Bug Bite. If the user uses Bug Bite to steal the effects of a Digestion Buff, they gain a Tick of Temporary Hit Points.",3/7/2021 0:43:28,3/7/2021 0:43:28
170,Horde Break,Static,,,,"Effect: When the user changes from School Form to Solo Form, it is cured of all Status Conditions.",3/7/2021 0:43:28,3/7/2021 0:43:28
171,Huge Power,Static,,,,"The Pokémon’s Base Attack stat is doubled. This may double any bonuses from Nature or Vitamins, but not bonuses from Trainer Features.",3/7/2021 0:43:28,3/7/2021 0:43:28
172,Huge Power / Pure Power,Static,,,,"The user’s Base Attack Stat is increased by +5, and by +1 more for every 10 Levels the user has. This Ability cannot be disabled in any way.",3/7/2021 0:43:28,3/7/2021 0:43:28
173,Hunger Switch,Static,,,,"At the beginning of each of the user’s turns, the user must choose whether it’s in Full Belly Mode or Hangry Mode until the beginning of its next turn. In Full Belly Mode, it gains a +2 bonus to Accuracy. In Hangry Mode, it gains a +5 Bonus to Damage Rolls.",3/7/2021 0:43:28,3/7/2021 0:43:28
174,Hustle,Static,,,,The user receives a -2 penalty to all Accuracy Rolls and gains a +10 Bonus to All Damage Rolls.,3/7/2021 0:43:28,3/7/2021 0:43:28
175,Hydration,Scene,Swift Action,,,The user is cured of one Status Affliction. Hydration’s Frequency is ignored if used during Rainy Weather.,3/7/2021 0:43:28,3/7/2021 0:43:28
176,Hyper Cutter,Static,,,,"The user’s Attack Stat may not be lowered, and its Attack Combat Stages may not be lowered.",3/7/2021 0:43:28,3/7/2021 0:43:28
177,Hypnotic,Static,,,,"Connection - Hypnosis. When used by the user, Hypnosis cannot miss.",3/7/2021 0:43:28,3/7/2021 0:43:28
178,Ice Body,Daily x5,Swift Action,,,The user gains a Tick of Hit Points. Ice Body may only be used while the user is under 50% Hit Points or in Hailing Weather. Bonus: The user is immune to Hit Point loss from Hail.,3/7/2021 0:43:28,3/7/2021 0:43:28
179,Ice Face,Static,,,,"The user begins the battle with two ticks of temporary hit points. As a Standard Action in Hail, they may gain two ticks of temporary hit points. The user is immune to damage from Hail. While the user has Temporary Hit Points from this Feature, it is in Ice Face form, otherwise it is in Noice Face form.",3/7/2021 0:43:28,3/7/2021 0:43:28
180,Ice Scales,Static,,,,The user resists Special Moves one step further.,3/7/2021 0:43:28,3/7/2021 0:43:28
181,Ice Shield,Scene,"Standard Action, Interrupt",,,"The user places up to 3 segments of Ice Wall; each segment must be continuous with another segment, and at least one must be adjacent to the user. These Ice Walls count as Blocking Terrain and last until the end of the encounter or until they are destroyed. Each Ice Wall segment is 2 meters tall, 1 meter wide, and 2 centimeters thick. Each segment has 10 Hit Points, 5 Damage Reduction, and takes damage as if it was Ice-Type.",3/7/2021 0:43:28,3/7/2021 0:43:28
182,Ignition Boost,At-Will,Free Action,An adjacent Ally uses a damaging Fire-Type Move,,The allied target gains a +5 Bonus to its damage roll with the triggering Move. A target may not benefit from more than one instance of Ignition Boost at a time.,3/7/2021 0:43:28,3/7/2021 0:43:28
183,Illuminate,Static,,,,Attacks that target the user have a -2 Accuracy Penalty against the user. Does not affect attackers with the Blindsense Capability.,3/7/2021 0:43:28,3/7/2021 0:43:28
184,Illusion,Special,,,,"As a Standard Action, the user may mark an object, Pokémon, or Trainer. The user may have a number of targets marked equal to their Focus Rank; to mark a new target, an old mark must be forfeited. Once per round as a Free Action, the user may use illusory powers to make itself look exactly like a marked target. This may be done as the user is being released from a Poké Ball. This change is aesthetic and does not affect typing or Moves. The illusion allows the user to vaguely mimic sounds made by its marked target, but it is not capable of intelligible speech. Whenever the user is hit by a damaging Move, the Illusion is destroyed. The user may also dismiss the Illusion as a Free Action.",3/7/2021 0:43:28,3/7/2021 0:43:28
185,Immunity,Static,,,,The user cannot be Poisoned or Badly Poisoned.,3/7/2021 0:43:28,3/7/2021 0:43:28
186,Imposter,Static,,,,"If the user is not Transformed, they may use Transform as a Free-Action Interrupt.",3/7/2021 0:43:28,3/7/2021 0:43:28
187,Infiltrator,Static,,,,"The user gains a +2 Bonus to Stealth Checks, does not trigger Hazards, Blessings cannot be activated in response to its actions, and the user may bypass the effects of the move Substitute.",3/7/2021 0:43:28,3/7/2021 0:43:28
188,Innards Out,Scene x2,Free Action,The user is hit by a damaging attack,,"The user resists the triggering attack one step further. After the attack is resolved, a foe within 2 meters loses Hit Points equal to twice the amount of Hit Points lost by the user from the triggering attack, even if the triggering attack caused the user to Faint.",3/7/2021 0:43:28,3/7/2021 0:43:28
189,Inner Focus,Static,,,,"The user cannot be Flinched, and their Initiative cannot be unwillingly lowered by any effects.",3/7/2021 0:43:28,3/7/2021 0:43:28
190,Insomnia,Static,,,,"The user is immune to the Sleep condition, and cannot use the move Rest.",3/7/2021 0:43:28,3/7/2021 0:43:28
191,Instinct,Static,,,,The user’s default Evasion is increased by 2.,3/7/2021 0:43:28,3/7/2021 0:43:28
192,Interference,Scene,Swift Action,,,The accuracy of all foes within 3 meters is reduced by -2 for 1 full round.,3/7/2021 0:43:28,3/7/2021 0:43:28
193,Intimidate,At-Will,Swift Action,,Pokémon or Trainer within 5 meters,Lower the target’s Attack 1 Combat Stage. You may target a specific foe only once per Scene with Intimidate.,3/7/2021 0:43:28,3/7/2021 0:43:28
194,Intrepid Sword,Static,,,,The user’s default Attack Combat Stages are increased by +1.,3/7/2021 0:43:28,3/7/2021 0:43:28
195,Iron Barbs,At-Will,Free Action,The user is hit by a damaging Melee Attack,,The attacker loses Hit Points equal to Tick of Hit Points.,3/7/2021 0:43:28,3/7/2021 0:43:28
196,Iron Fist,Static,,,,"The user increases the Damage Base of the following Moves by +2; Bullet Punch, Comet Punch, Dizzy Punch, Drain Punch, Dynamic Punch, Fire Punch, Meteor Mash, Shadow Punch, Ice Punch, Mach Punch, Mega Punch, Sky Uppercut, Thunder Punch, Focus Punch, Hammer Arm, and Power-Up Punch.",3/7/2021 0:43:28,3/7/2021 0:43:28
197,Juicy Energy,Daily,Free Action,The user trades in a Berry Juice Food Buff,,"Instead of gaining 30 Hit Points, the user gains Hit Points equal to their Level",3/7/2021 0:43:28,3/7/2021 0:43:28
198,Justified,At-Will,Free Action,The user is hit by a damaging Dark Type Move or Attack of Opportunity,,The user may raise its Attack by +1 Combat Stage. Bonus: The user always gains a +4 bonus to Skill Checks made to Intercept.,3/7/2021 0:43:28,3/7/2021 0:43:28
199,Kampfgeist,Scene,Free Action,"The user takes Bug, Dark, or Rock-Type Damage",,The triggering damage is resisted one step further. Bonus: The user gains STAB on Fighting-Type Moves.,3/7/2021 0:43:28,3/7/2021 0:43:28
200,Keen Eye,Static,,,,"The user’s Accuracy cannot be lowered, their attacks cannot have Accuracy Penalties (such as from Illuminate), the user is immune to the Blind condition (but not Total Blindness), and the user ignores any Evasion not directly derived from Stats (such as from the Instinct Ability, or from moves like Minimize).",3/7/2021 0:43:28,3/7/2021 0:43:28
201,Klutz,Scene,Free Action,The user hits with a Melee Attack,,"Choose one of the target’s Held Items or Accessory Slot Items. It is knocked to the ground. Bonus: The Pokémon ignores the effects of all held Items in its possession. The user may drop Held Items At-Will as a Free Action during their turn, even if they have Status Afflictions that prevent them from taking actions.",3/7/2021 0:43:28,3/7/2021 0:43:28
202,Lancer,Static,,,,"During their turn, if the user Shifts at least 3 meters, they gain a +3 Bonus to Critical Hit Range until the beginning of their next turn. If they do not Shift or Disengage at all, they gain +5 Damage Reduction until the beginning of their next turn.",3/7/2021 0:43:28,3/7/2021 0:43:28
203,Landslide,Static,,,,The user gains Last Chance with Ground.,3/7/2021 0:43:28,3/7/2021 0:43:28
204,Last Chance,Static,,,,The user gains Last Chance with Normal.,3/7/2021 0:43:28,3/7/2021 0:43:28
205,Leaf Gift,Daily,Extended Action,,,"The user is adept at crafting clothes for itself out of common leaves. As an extended action, the user may craft a Leaf Suit listed below by activating this Ability; each suit has different effects on the user. The user may only wear one Leaf Suit at a time; building a new suit destroys previous suits.

Nourishing Suit - Effect: Grants the Sun Blanket and Leaf Guard Abilities.
Heavy Suit - Effect: Grants the Sturdy and Overcoat Abilities. 

Vibrant Suit - Effect: Grants the Chlorophyll and Photosynthesis Abilities. ",3/7/2021 0:43:28,3/7/2021 0:43:28
206,Leaf Guard,Scene,Swift Action,,,The user is cured of one Status Affliction. Leaf Guard’s Frequency is ignored if used during Sunny Weather.,3/7/2021 0:43:28,3/7/2021 0:43:28
207,Leafy Cloak,Static,,,,"Whenever the user activates Designer, theychoose two of Chlorophyll, Leaf Guard, or Overcoat. Until the user activates Designer again, they gain the chosen Abilities.",3/7/2021 0:43:28,3/7/2021 0:43:28
208,Leek Mastery,Static,,,,"Connection - Acrobatics. If the user is holding a Rare Leek, they may still use Acrobatics as if they were not holding an item. The user cannot be disarmed of their Stick, nor can be it be forcefully removed by Trick, Switcheroo, Thief, or any other Moves or effects unless the user wishes it.",3/7/2021 0:43:28,3/7/2021 0:43:28
209,Life Force,Daily x5,Swift Action,,,The user gains a Tick of Hit Points.,3/7/2021 0:43:28,3/7/2021 0:43:28
210,Light Metal,Static,,,,"The user’s Weight Class is decreased by 2. Their Speed Base Stat is increased by +2, but their Defense Base Stat is decreased by 2.",3/7/2021 0:43:28,3/7/2021 0:43:28
211,Lightning Kicks,Scene,Free Action,,,"The user may activate this Ability to use any Move with “Kick” in the name as a Priority Move, and gain a +4 Bonus to the attack’s Accuracy Roll.",3/7/2021 0:43:28,3/7/2021 0:43:28
212,Lightning Rod,Scene,Free Action,A ranged Electric Type Move is used within 10 Meters of the user.,,"The Move is turned into a 1-Target Move and is re-directed at the user without fail, and cannot miss. This negates Lock-On or Mind Reader. The user’s Special Attack is then raised by +1 Combat Stage.Bonus: The user is immune to the damage and effects of Electric Type attacks. 
",3/7/2021 0:43:28,3/7/2021 0:43:28
213,Limber,Static,,,,The user is immune to Paralysis.,3/7/2021 0:43:28,3/7/2021 0:43:28
214,Line Charge,Static,,,,"The user can only shift in cardinal directions on the grid. However, they do not provoke attacks of opportunity from Shifting.",3/7/2021 0:43:28,3/7/2021 0:43:28
215,Liquid Ooze,Static,,,,"This user resists Poison-Type Damage one step further. Additionally, when this user is damaged by Absorb, Drain Punch, Giga Drain, Horn Leech, Leech Life, or Mega Drain, that Move gains Recoil ½ and the Move’s user does not gain any HP. If the user is hit by Leech Seed, the user does not lose Hit Points from Leech Seed; instead Leech Seed’s user loses Hit Points equal to this user’s Tick Value.",3/7/2021 0:43:28,3/7/2021 0:43:28
216,Liquid Voice,At-Will,Free Action,The user uses a Move with the Sonic keyword.,,"The triggering move loses the Sonic keyword, but gains the Friendly keyword and becomes Water Typed. If the Move was a Status Class Move, you may treat it as a Special Move with DB 1.",3/7/2021 0:43:28,3/7/2021 0:43:28
217,Long Reach,Static,,,,"The user may use damaging attacks as if they had a range of ""8, 1 Target"" instead of their usual range.",3/7/2021 0:43:28,3/7/2021 0:43:28
218,Lullaby,Scene,Free Action,,,"Connection - Sing. Whenever the user uses the Move “Sing”, they may activate this Feature. The user then picks a Pokémon or Trainer being targeted by Sing; Sing automatically hits that target.",3/7/2021 0:43:28,3/7/2021 0:43:28
219,Lunchbox,Scene,Free Action,The user trades in a Food Buff,,The user gains a Tick of Temporary Hit Points. These Temporary Hit Points stack with any Temporary Hit Points granted by the triggering Food Buff.,3/7/2021 0:43:28,3/7/2021 0:43:28
220,Mach Speed,Static,,,,The user gains Last Chance with Flying.,3/7/2021 0:43:28,3/7/2021 0:43:28
221,Magic Bounce,Scene,Free Action,The user is hit by a Status Move,,The user may reflect the Move back to the attacker. This Ability may be used to change the placement and affiliation of any Hazards being set within 10 meters of the user as well.,3/7/2021 0:43:28,3/7/2021 0:43:28
222,Magic Guard,Static,,,,"The user is immune to damage and Hit Point loss from Hazards, Weather, Status Afflictions, Vortexes, Recoil, Hay Fever, Iron Barbs, Rough Skin, and Leech Seed.",3/7/2021 0:43:28,3/7/2021 0:43:28
223,Magician,Scene,Free Action,The user hits a foe with a damaging Single- Target attack,,The user takes the target’s Held Item. This Ability may not be triggered if the user is already holding a Held Item.,3/7/2021 0:43:28,3/7/2021 0:43:28
224,Magma Armor,Static,,,,"Whenever a foe hits you with a Melee Attack or ends their turn grappling you, they lose a tick of Hit Points. Foes immune to Burn do not suffer this effect. Bonus: The user cannot be Frozen.",3/7/2021 0:43:28,3/7/2021 0:43:28
225,Magnet Pull,Scene x3,Swift Action,,A Steel-Type Pokémon within 6 meters,"Pick Two Effects; - The target is pushed or pulled X meters directly away or towards the user. X is up to 6 meters minus the target’s Weight Class. - Until the end of the user’s next turn, the target may not move more than 6 meters away from the user. Until the end of the user’s next turn, the target may not move closer than 3 meters to the user.",3/7/2021 0:43:28,3/7/2021 0:43:28
226,Marvel Scale,Static,,,,"When Asleep, Paralyzed, Burned, Frozen or Poisoned, Marvel Scale raises the user’s Defense by +2 Combat Stages. The Combat Stages return to normal if the user is cured of their status affliction.",3/7/2021 0:43:28,3/7/2021 0:43:28
227,Mega Launcher,Static,,,,"The user increases the Damage Base of Aura Sphere, Dark Pulse, Dragon Pulse, and Water Pulse by +3.",3/7/2021 0:43:28,3/7/2021 0:43:28
228,Memory Wipe Scene -,Special,,,A foe within 10 meters,"If used as a Swift Action, the last Move used by the target becomes Disabled. If used as a Standard Action, the target is Flinched and Paralyzed. If used as an Extended Action that takes about 1 minute, it can erase up to 10 minutes that have occurred within the last 30 minutes from the target’s memory.",3/7/2021 0:43:28,3/7/2021 0:43:28
229,Merciless,Static,,,,Any attacks by the user against Poisoned targets are Critical Hits. They must still hit normally.,3/7/2021 0:43:28,3/7/2021 0:43:28
230,Migraine,Scene x2,Free Action,The user hits with Confusion while at 50% Hit Points or less,,Connection - Confusion. Confusion automatically gives its target the Confusion Affliction and is a Critical Hit.,3/7/2021 0:43:28,3/7/2021 0:43:28
231,Mimicry,Scene,Free Action,,,"The user changes their Type to match the  field. Pick one type from the following table. If two  or more rows are relevant (such as because of  Weather), pick one. Field/Weather Type Beach Ground or Water Cave Rock or Dark Desert Ground or Rock Forest Grass Fresh Water / Ocean Water Grassland Normal or Grass Marsh Water or Poison Mountain Rock or Ground Rainforest Grass or Poison Taiga Ice or Grass Tundra Ice Urban Normal or Steel Sunny Fire Rainy Water Hailing Ice Sandstorming Rock Your GM may provide additional options should they  choose (for instance, an Ethereal Forest may provide  Psychic and Fairy options.) Note: This table may be used for Camouflage, too.",3/7/2021 0:43:28,3/7/2021 0:43:28
232,Mimitree,Static,,,,"Connection - Mimic. Whenever the user uses a Move copied by Mimic, they may choose to replace that Move with Mimic once more. When used this way, the user ignores Mimic’s Frequency.",3/7/2021 0:43:28,3/7/2021 0:43:28
233,Mind Mold,Static,,,,The user gains Last Chance with Psychic.,3/7/2021 0:43:28,3/7/2021 0:43:28
234,Mini-Noses,Daily,Standard Action,,,"The user detaches up to three Mini-Noses from themselves and places them adjacent to them on the battlefield. These Mini-Noses have HP equal to the user’s level but otherwise uses their user’s stats. Each Mini- Nose has a Levitate Speed of 4. The user may Shift them each round on their turn, and they may originate any Ranged Move from one of the Mini-Noses instead of themselves if they choose. If a Mini-Nose is reduced to 0 HP, it is destroyed and takes a full 24 hours to regrow, one at a time. If the user has less than three grown Mini- Noses, then this ability can only place as many on the field as are available. All Mini-Noses deactivate, but are not destroyed, if the user is Fainted. Mini-Noses cannot be made to Shift more than 5 meters away from the user; if they are forced farther away, they will automatically Shift toward the user on the user’s turn.",3/7/2021 0:43:28,3/7/2021 0:43:28
235,Minus,Scene x2,Free Action,(Reaction) A foe within 10m has Combat Stages lowered,,The target loses an additional Combat Stage in  one stat lowered by the triggering effect.,3/7/2021 0:43:28,3/7/2021 0:43:28
236,Miracle Mile,Static,,,,The user gains Last Chance with Fairy.,3/7/2021 0:43:28,3/7/2021 0:43:28
237,Mirror Armor,At-Will,Free Action,"(Reaction) A foe’s Move or Ability directly lowers the user’s CS (including Effect Ranges, but not including things like Status)",,"The user’s CS are instead not lowered, and  the triggering foe’s CS in the affected stats are instead lowered the same amount the user’s would have been.",3/7/2021 0:43:28,3/7/2021 0:43:28
238,Missile Launch,Scene x2,Standard Action,,,"Connection – Dragon Darts. The user places two Dreepy Tokens within 6m. The user may move all Dreepy Tokens it controls 4m as a Swift Action. A Dreepy Token can freely enter other creatures’ squares as part of this movement, which destroys the token, and causes the creature to suffer an AC2 DB 5 Physical Dragon-Type attack as if from the user of Missile Launch. Dreepy Tokens may be targeted. They have the same evasions as the user, and any damage destroys them (including from Smite damage).",3/7/2021 0:43:28,3/7/2021 0:43:28
239,Misty Surge,Scene x3,Swift Action,,,"The Field becomes Misty, as if affected by the Move Misty Terrain for one full round.",3/7/2021 0:43:28,3/7/2021 0:43:28
240,Mojo,Static,,,,Normal Types are not immune to the user’s Ghost-Type Moves.,3/7/2021 0:43:28,3/7/2021 0:43:28
241,Mold Breaker,Static,,,,The user ignores the effect of enemies’ Defensive Abilities.,3/7/2021 0:43:28,3/7/2021 0:43:28
242,Moody,Static,,,,"At the end of the user’s turn, roll 1d6 to determine a Stat to be raised by +2 Combat Stages, then roll 1d6 to determine a Stat to be lowered by 1 Combat Stage. 1 is Attack, 2 is Defense, 3 is Special Attack, 4 is Special Defense, 5 is Speed, and 6 is Accuracy. ",3/7/2021 0:43:28,3/7/2021 0:43:28
243,Motor Drive,Static,,,,"The user is immune to the damage and effects of Electric Type attacks. Whenever an Electric Type attack hits the Pokémon, raise their Speed by +1 Combat Stage.",3/7/2021 0:43:28,3/7/2021 0:43:28
244,Mountain Peak,Static,,,,The user gains Last Chance with Rock.,3/7/2021 0:43:28,3/7/2021 0:43:28
245,Moxie,Static,,,,"Whenever the user’s Move causes a target to faint, it may raise its Attack Combat Stage by +1. You may only trigger Moxie once per Move, even if the Move causes multiple targets to faint.",3/7/2021 0:43:28,3/7/2021 0:43:28
246,Mud Dweller,Static,,,,The user resists Ground-Type and Water-Type attacks one step further.,3/7/2021 0:43:28,3/7/2021 0:43:28
247,Mud Shield,Scene,Swift Action,,,"The user gains two ticks worth of Temporary Hit Points. Bonus: When standing on any muddy or dirty terrain that is either Slow or Rough Terrain, the user gains +5 Damage Reduction.",3/7/2021 0:43:28,3/7/2021 0:43:28
248,Multiscale,Static,,,,"While at full Hit Points, all damage taken is resisted one step further.",3/7/2021 0:43:28,3/7/2021 0:43:28
249,Multitype,At Will,Free Action,,,The user changes its Elemental Type to any of the Elemental Types. Multitype cannot be copied or disabled.,3/7/2021 0:43:28,3/7/2021 0:43:28
250,Mummy,At-Will,Free Action,The user is hit by a Melee Attack,,Disable one of the user’s Abilities for the rest of the Scene or until they are switched out.,3/7/2021 0:43:28,3/7/2021 0:43:28
251,Natural Cure,Scene,Free Action,,,"Whenever the user is returned to its Poké Ball or Takes A Breather, it may activate Natural Cure to cure itself of all Persistent Status Afflictions.",3/7/2021 0:43:28,3/7/2021 0:43:28
252,Needles,Static,,,,"Connection – Needle Arm. Whenever the user hits a target with a Physical Melee attack, that target loses a Tick of Hit Points.",3/7/2021 0:43:28,3/7/2021 0:43:28
253,Neutralizing Gas,Static,,,,"Abilities may not be Triggered in a burst 1 around the user, and Defensive abilities do not function in that area (the user is unaffected by this).  If the user uses Poison Gas, Smog, Clear Smog, or Strange Steam, targets hit by those Moves may not trigger Abilities or benefit from Defensive Abilities for one full round.",3/7/2021 0:43:28,3/7/2021 0:43:28
254,Nimble Strikes,Static,,,,The user adds half their Speed Stat to the Damage Rolls of their physical Normal-Type Moves.,3/7/2021 0:43:28,3/7/2021 0:43:28
255,No Guard,Static,,,,The user gains a +3 bonus to all Attack Rolls; however all foes gain a +3 Bonus on Attack Rolls against the user.,3/7/2021 0:43:28,3/7/2021 0:43:28
256,Normalize,Static,,,,The user’s attacks cannot deal Super-Effective or Resisted Damage; they instead resolve as if dealing Neutral Damage. The user also takes neutral damage from all attacks to which they are not immune. This does not affect Immunities.,3/7/2021 0:43:28,3/7/2021 0:43:28
