id,name,effect,createdAt,updatedAt
194,Wacan Berry,"Grants a digestion buff that can be traded in when the user is hit by a Electric type move, but before taking damage. The user resists the attack one step compared to what they normally would.",3/10/2021 17:06:41,3/10/2021 17:06:41
195,Babiri Berry,"Grants a digestion buff that can be traded in when the user is hit by a Steel type move, but before taking damage. The user resists the attack one step compared to what they normally would.",3/10/2021 17:06:41,3/10/2021 17:06:41
196,Rindo Berry,"Grants a digestion buff that can be traded in when the user is hit by a Grass type move, but before taking damage. The user resists the attack one step compared to what they normally would.",3/10/2021 17:06:41,3/10/2021 17:06:41
197,Passho Berry,"Grants a digestion buff that can be traded in when the user is hit by a Water type move, but before taking damage. The user resists the attack one step compared to what they normally would.",3/10/2021 17:06:41,3/10/2021 17:06:41
198,Roseli Berry,"Grants a digestion buff that can be traded in when the user is hit by a Fairy type move, but before taking damage. The user resists the attack one step compared to what they normally would.",3/10/2021 17:06:41,3/10/2021 17:06:41
199,Yache Berry,"Grants a digestion buff that can be traded in when the user is hit by a Ice type move, but before taking damage. The user resists the attack one step compared to what they normally would.",3/10/2021 17:06:41,3/10/2021 17:06:41
200,Kebia Berry,"Grants a digestion buff that can be traded in when the user is hit by a Poison type move, but before taking damage. The user resists the attack one step compared to what they normally would.",3/10/2021 17:06:41,3/10/2021 17:06:41
201,Coba Berry,"Grants a digestion buff that can be traded in when the user is hit by a Flying type move, but before taking damage. The user resists the attack one step compared to what they normally would.",3/10/2021 17:06:41,3/10/2021 17:06:41
202,Tanga Berry,"Grants a digestion buff that can be traded in when the user is hit by a Bug type move, but before taking damage. The user resists the attack one step compared to what they normally would.",3/10/2021 17:06:41,3/10/2021 17:06:41
203,Kasib Berry,"Grants a digestion buff that can be traded in when the user is hit by a Ghost type move, but before taking damage. The user resists the attack one step compared to what they normally would.",3/10/2021 17:06:41,3/10/2021 17:06:41
204,Payapa Berry,"Grants a digestion buff that can be traded in when the user is hit by a Psychic type move, but before taking damage. The user resists the attack one step compared to what they normally would.",3/10/2021 17:06:41,3/10/2021 17:06:41
205,Shuca Berry,"Grants a digestion buff that can be traded in when the user is hit by a Ground type move, but before taking damage. The user resists the attack one step compared to what they normally would.",3/10/2021 17:06:41,3/10/2021 17:06:41
206,Chilan Berry,"Grants a digestion buff that can be traded in when the user is hit by a Normal type move, but before taking damage. The user resists the attack one step compared to what they normally would.",3/10/2021 17:06:41,3/10/2021 17:06:41
